run,workload,wal_size,data_size,wal_data_ratio,wall_clock,wal_level,wal_log_hints,wal_compression,full_page_writes
1,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",40544,16384,247.4609375,00:00:00.774075,minimal,on,off,off
2,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",39008,16384,238.0859375,00:00:00.188211,minimal,off,off,off
3,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",36280,16384,221.435546875,00:00:00.214521,minimal,off,off,off
4,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18208,16384,111.1328125,00:00:00.427126,minimal,off,on,off
5,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18480,16384,112.79296875,00:00:00.314409,minimal,on,on,off
6,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18728,16384,114.306640625,00:00:00.143606,minimal,on,on,on
7,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",35056,16384,213.96484375,00:00:00.149981,minimal,on,off,on
8,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",35520,16384,216.796875,00:00:00.705826,minimal,off,off,on
9,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",38264,16384,233.544921875,00:00:00.183637,minimal,off,off,off
10,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18408,16384,112.353515625,00:00:00.479829,minimal,off,on,off
11,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18440,16384,112.548828125,00:00:00.230319,minimal,on,on,off
12,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18720,16384,114.2578125,00:00:00.203349,minimal,on,on,on
13,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",29712,16384,181.34765625,00:00:00.128752,replica,on,off,on
14,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",35128,16384,214.404296875,00:00:00.149737,replica,off,off,on
15,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",38232,16384,233.349609375,00:00:00.116238,replica,off,off,off
16,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18448,16384,112.59765625,00:00:00.152463,replica,off,on,off
17,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18544,16384,113.18359375,00:00:00.168956,replica,on,on,off
18,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",17376,16384,106.0546875,00:00:00.120513,replica,on,on,on
19,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",35104,16384,214.2578125,00:00:00.193668,replica,on,off,on
20,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",33720,16384,205.810546875,00:00:00.137249,replica,off,off,on
21,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",37024,16384,225.9765625,00:00:00.137544,replica,off,off,off
22,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",16952,16384,103.466796875,00:00:00.152927,replica,off,on,off
23,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",17000,16384,103.759765625,00:00:00.142911,replica,on,on,off
24,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",16640,16384,101.5625,00:00:00.120578,replica,on,on,on
25,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",28104,16384,171.533203125,00:00:00.124868,logical,on,off,on
26,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",36240,16384,221.19140625,00:00:00.115099,logical,off,off,on
27,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",35384,16384,215.966796875,00:00:00.127633,logical,off,off,off
28,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18840,16384,114.990234375,00:00:00.416849,logical,off,on,off
29,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",16984,16384,103.662109375,00:00:00.125722,logical,on,on,off
30,"'BEGIN;
INSERT INTO wal_traffic_workload SELECT v, md5( v::text )::text || random()::text
FROM generate_series( 1, 100 ) v;
COMMIT;

BEGIN;
INSERT INTO wal_traffic_workload 
SELECT v + v, t || '' - '' || t || random()::text
FROM wal_traffic_workload
WHERE v % 5 = 0;
COMMIT;'",18528,16384,113.0859375,00:00:00.202673,logical,on,on,on
